dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-0.393700,0.000024,0.002438,0.121920,6.096000,0.000000
0.020000,0.000086,-0.393700,0.000111,0.004318,0.093980,-1.397000,0.000000
0.020000,0.000306,-0.393700,0.000330,0.010973,0.332740,11.938000,0.000000
0.020000,0.000696,-0.393700,0.000720,0.019507,0.426720,4.699000,0.000000
0.020000,0.001306,-0.393700,0.001330,0.030480,0.548640,6.096000,0.000000
0.020000,0.002183,-0.393700,0.002208,0.043891,0.670560,6.096000,0.000000
0.020000,0.003378,-0.393700,0.003403,0.059741,0.792480,6.096000,0.000000
0.020000,0.004939,-0.393700,0.004963,0.078029,0.914400,6.096000,0.000000
0.020000,0.006914,-0.393700,0.006938,0.098755,1.036320,6.096000,0.000000
0.020000,0.009352,-0.393700,0.009377,0.121920,1.158240,6.096000,0.000000
0.020000,0.012278,-0.393700,0.012303,0.146304,1.219200,3.048000,0.000000
0.020000,0.015692,-0.393700,0.015717,0.170688,1.219200,0.000000,0.000000
0.020000,0.019594,-0.393700,0.019618,0.195072,1.219200,0.000000,0.000000
0.020000,0.023983,-0.393700,0.024007,0.219456,1.219200,-0.000000,0.000000
0.020000,0.028859,-0.393700,0.028884,0.243840,1.219200,-0.000000,0.000000
0.020000,0.034224,-0.393700,0.034248,0.268224,1.219200,-0.000000,0.000000
0.020000,0.040076,-0.393700,0.040101,0.292608,1.219200,-0.000000,0.000000
0.020000,0.046416,-0.393700,0.046440,0.316992,1.219200,0.000000,0.000000
0.020000,0.053243,-0.393700,0.053268,0.341376,1.219200,0.000000,0.000000
0.020000,0.060559,-0.393700,0.060583,0.365760,1.219200,-0.000000,0.000000
0.020000,0.068362,-0.393700,0.068386,0.390144,1.219200,0.000000,0.000000
0.020000,0.076652,-0.393700,0.076677,0.414528,1.219200,-0.000000,0.000000
0.020000,0.085430,-0.393700,0.085455,0.438912,1.219200,-0.000000,0.000000
0.020000,0.094696,-0.393700,0.094721,0.463296,1.219200,0.000000,0.000000
0.020000,0.104450,-0.393700,0.104474,0.487680,1.219200,-0.000000,0.000000
0.020000,0.114691,-0.393700,0.114716,0.512064,1.219200,-0.000000,0.000000
0.020000,0.125420,-0.393700,0.125445,0.536448,1.219200,-0.000000,0.000000
0.020000,0.136637,-0.393700,0.136661,0.560832,1.219200,0.000000,0.000000
0.020000,0.148341,-0.393700,0.148365,0.585216,1.219200,0.000000,0.000000
0.020000,0.160533,-0.393700,0.160557,0.609600,1.219200,0.000000,0.000000
0.020000,0.173213,-0.393700,0.173237,0.633984,1.219200,-0.000000,0.000000
0.020000,0.186380,-0.393700,0.186405,0.658368,1.219200,0.000000,0.000000
0.020000,0.200035,-0.393700,0.200060,0.682752,1.219200,0.000000,0.000000
0.020000,0.214178,-0.393700,0.214202,0.707136,1.219200,0.000000,0.000000
0.020000,0.228808,-0.393700,0.228833,0.731520,1.219200,0.000000,0.000000
0.020000,0.243926,-0.393700,0.243951,0.755904,1.219200,0.000000,0.000000
0.020000,0.259532,-0.393700,0.259557,0.780288,1.219200,-0.000000,0.000000
0.020000,0.275626,-0.393700,0.275650,0.804672,1.219200,0.000000,0.000000
0.020000,0.292207,-0.393700,0.292231,0.829056,1.219200,0.000000,0.000000
0.020000,0.309275,-0.393700,0.309300,0.853440,1.219200,-0.000000,0.000000
0.020000,0.326832,-0.393700,0.326856,0.877824,1.219200,0.000000,0.000000
0.020000,0.344876,-0.393700,0.344901,0.902208,1.219200,0.000000,0.000000
0.020000,0.363408,-0.393700,0.363432,0.926592,1.219200,-0.000000,0.000000
0.020000,0.382427,-0.393700,0.382452,0.950976,1.219200,0.000000,0.000000
0.020000,0.401935,-0.393700,0.401959,0.975360,1.219200,-0.000000,0.000000
0.020000,0.421930,-0.393700,0.421954,0.999744,1.219200,0.000000,0.000000
0.020000,0.442412,-0.393700,0.442437,1.024128,1.219200,-0.000000,0.000000
0.020000,0.463382,-0.393700,0.463407,1.048512,1.219200,-0.000000,0.000000
0.020000,0.484840,-0.393700,0.484865,1.072896,1.219200,0.000000,0.000000
0.020000,0.506786,-0.393700,0.506810,1.097280,1.219200,0.000000,0.000000
0.020000,0.529219,-0.393700,0.529244,1.121664,1.219200,-0.000000,0.000000
0.020000,0.552140,-0.393700,0.552165,1.146048,1.219200,0.000000,0.000000
0.020000,0.575549,-0.393700,0.575573,1.170432,1.219200,-0.000000,0.000000
0.020000,0.599445,-0.393700,0.599469,1.194816,1.219200,0.000000,0.000000
0.020000,0.623829,-0.393700,0.623853,1.219200,1.219200,0.000000,0.000000
0.020000,0.648701,-0.393700,0.648725,1.243584,1.219200,-0.000000,0.000000
0.020000,0.674060,-0.393700,0.674085,1.267968,1.219200,0.000000,0.000000
0.020000,0.699907,-0.393700,0.699932,1.292352,1.219200,0.000000,0.000000
0.020000,0.726242,-0.393700,0.726266,1.316736,1.219200,0.000000,0.000000
0.020000,0.753064,-0.393700,0.753089,1.341120,1.219200,-0.000000,0.000000
0.020000,0.780374,-0.393700,0.780399,1.365504,1.219200,0.000000,0.000000
0.020000,0.808172,-0.393700,0.808197,1.389888,1.219200,0.000000,0.000000
0.020000,0.836458,-0.393700,0.836482,1.414272,1.219200,-0.000000,0.000000
0.020000,0.865231,-0.393700,0.865255,1.438656,1.219200,0.000000,0.000000
0.020000,0.894491,-0.393700,0.894516,1.463040,1.219200,-0.000000,0.000000
0.020000,0.924240,-0.393700,0.924264,1.487424,1.219200,0.000000,0.000000
0.020000,0.954476,-0.393700,0.954501,1.511808,1.219200,0.000000,0.000000
0.020000,0.985200,-0.393700,0.985224,1.536192,1.219200,-0.000000,0.000000
0.020000,1.016411,-0.393700,1.016436,1.560576,1.219200,0.000000,0.000000
0.020000,1.048111,-0.393700,1.048135,1.584960,1.219200,0.000000,0.000000
0.020000,1.080298,-0.393700,1.080322,1.609344,1.219200,-0.000000,0.000000
0.020000,1.112972,-0.393700,1.112997,1.633728,1.219200,0.000000,0.000000
0.020000,1.146134,-0.393700,1.146159,1.658112,1.219200,0.000000,0.000000
0.020000,1.179784,-0.393700,1.179809,1.682496,1.219200,-0.000000,0.000000
0.020000,1.213922,-0.393700,1.213946,1.706880,1.219200,-0.000000,0.000000
0.020000,1.248547,-0.393700,1.248572,1.731264,1.219200,0.000000,0.000000
0.020000,1.283660,-0.393700,1.283685,1.755648,1.219200,0.000000,0.000000
0.020000,1.319261,-0.393700,1.319285,1.780032,1.219200,-0.000000,0.000000
0.020000,1.355349,-0.393700,1.355373,1.804416,1.219200,-0.000000,0.000000
0.020000,1.391925,-0.393700,1.391949,1.828800,1.219200,0.000000,0.000000
0.020000,1.428989,-0.393700,1.429013,1.853184,1.219200,-0.000000,0.000000
0.020000,1.466540,-0.393700,1.466565,1.877568,1.219200,0.000000,0.000000
0.020000,1.504579,-0.393700,1.504604,1.901952,1.219200,0.000000,0.000000
0.020000,1.543106,-0.393700,1.543130,1.926336,1.219200,-0.000000,0.000000
0.020000,1.582120,-0.393700,1.582145,1.950720,1.219200,0.000000,0.000000
0.020000,1.621622,-0.393700,1.621647,1.975104,1.219200,0.000000,0.000000
0.020000,1.661612,-0.393700,1.661637,1.999488,1.219200,-0.000000,0.000000
0.020000,1.702090,-0.393700,1.702114,2.023872,1.219200,0.000000,0.000000
0.020000,1.743055,-0.393700,1.743079,2.048256,1.219200,-0.000000,0.000000
0.020000,1.784507,-0.393700,1.784532,2.072640,1.219200,0.000000,0.000000
0.020000,1.826448,-0.393700,1.826472,2.097024,1.219200,0.000000,0.000000
0.020000,1.868876,-0.393700,1.868901,2.121408,1.219200,-0.000000,0.000000
0.020000,1.911792,-0.393700,1.911816,2.145792,1.219200,0.000000,0.000000
0.020000,1.955195,-0.393700,1.955220,2.170176,1.219200,-0.000000,0.000000
0.020000,1.999087,-0.393700,1.999111,2.194560,1.219200,0.000000,0.000000
0.020000,2.043466,-0.393700,2.043490,2.218944,1.219200,-0.000000,0.000000
0.020000,2.088332,-0.393700,2.088357,2.243328,1.219200,0.000000,0.000000
